nama_hotel,kelurahan,kecamatan,bintang,jumlah_kamar,jumlah_tempat_tidur,tahun,bulan,wisman,wisnus,kmr,pax,rm_ava,okupansi
GRAND SENYIUR HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 5,181,221,2019,01,51,1.890,1.046,1.941,5611,"18,64"
NOVOTEL HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 5,198,267,2019,01,385,4.314,4.368,4.699,6138,"71,16"
GRAND JATRA HOTEL,Damai Bahagia,Balikpapan Selatan,Bintang 5,215,296,2019,01,385,4.314,4.773,4.699,6665,"71,61"
FOUR POINS,Sepinggan Raya,Balikpapan Selatan,Bintang 4,138,168,2019,01,0,0,0,0,4278,"0,00"
PLATINUM HOTEL,Graha Indah,Balikpapan Utara,Bintang 4,200,312,2019,01,201,3.397,2.073,3.598,6200,"33,44"
BLUE SKY,Marga Sari,Balikpapan Barat,Bintang 4,122,140,2019,01,26,1.448,1.839,1.474,3782,"48,63"
PENTACITY HOTEL,Damai Bahagia,Balikpapan Selatan,Bintang 4,80,90,2019,01,0,0,0,0,2480,"0,00"
GRAND TJKORO,Sepinggan Raya,Balikpapan Selatan,Bintang 4,148,224,2019,01,98,2.525,2.874,2.623,4588,"62,64"
HORISON ULTIMA,Sepinggan,Balikpapan Selatan,Bintang 4,130,130,2019,01,0,0,0,0,4030,"0,00"
GOLDEN TULIP HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 4,150,255,2019,01,0,0,0,0,4650,"0,00"
SWISS BELL HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 4,230,350,2019,01,116,6.560,3.577,6.676,7130,"50,17"
GRAND TIGA MUSTIKA HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 4,116,196,2019,01,5,845,351,850,3596,"9,76"
ASTARA HOTEL,Damai Bahagia,Balikpapan Selatan,Bintang 4,663,673,2019,01,65,3.931,2.810,3.996,20553,"13,67"
MENARA BAHTERA,Klandasan Ilir,Balikpapan Kota,Bintang 4,182,252,2019,01,30,1.941,1.302,1.971,5642,"23,08"
THE NEW BENAKUTAI,Klandasan Ilir,Balikpapan Kota,Bintang 4,91,136,2019,01,0,493,493,493,2821,"17,48"
GRAND TAN HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 4,150,255,2019,01,340,3.904,0,4.244,4650,"0,00"
LE GRANDEUR HOTEL,DAMAI,Balikpapan Selatan,Bintang 4,185,200,2019,01,76,1.918,0,1.994,5735,"0,00"
HER HOTEL,Sepinggan,Balikpapan Selatan,Bintang 3,154,200,2019,01,0,2.200,1.660,2.200,4774,"34,77"
QUEST HOTEL,Damai Bahagia,Balikpapan Selatan,Bintang 3,79,79,2019,01,168,3.735,2.110,3.903,2449,"86,16"
NEO+ HOTEL,Gn. Sari Ulu,Balikpapan Tengah,Bintang 3,101,159,2019,01,32,3.767,2.181,3.799,3131,"69,66"
D'PRIMA HOTEL,Damai,Balikpapan Selatan,Bintang 3,73,73,2019,01,0,0,0,0,2263,"0,00"
PACIFIC HOTEL,Gn. sari Ilir,Balikpapan Tengah,Bintang 3,99,143,2019,01,56,1.300,1.099,1.356,3069,"35,81"
WHIZ PRIME HOTEL,Damai,Balikpapan Kota,Bintang 3,166,166,2019,01,0,3.189,2.332,3.189,5146,"45,32"
BDI TOWN HOUSE,Gn. Bahagia,Balikpapan Selatan,Bintang 3,85,170,2019,01,103,263,183,366,2635,"6,94"
IBIS HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 3,155,237,2019,01,23,6.337,3.689,6.360,4805,"76,77"
SWISS BELL INN,Damai,Balikpapan Kota,Bintang 3,133,197,2019,01,2,2.782,2.784,2.784,4123,"67,52"
ZURICH HOTEL,Damai,Balikpapan Kota,Bintang 3,112,172,2019,01,41,3.869,2.140,3.910,3472,"61,64"
MAX ONE,Damai,Balikpapan Selatan,Bintang 3,115,174,2019,01,6,5.114,2.773,5.120,3565,"77,78"
HORISON SAGITA,Klandasan Ilir,Balikpapan Kota,Bintang 3,98,98,2019,01,35,2.468,1.799,2.503,3038,"59,22"
MEGA LESTARI HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 3,108,173,2019,01,0,1.309,653,1.309,3348,"19,50"
BEST INN,Gn. Bahagia,Balikpapan Selatan,Bintang 3,53,72,2019,01,0,1.666,833,1.666,1643,"50,70"
THE STAR HILL,Damai Bahagia,Balikpapan Selatan,Bintang 3,27,37,2019,01,0,140,70,140,837,"8,36"
