No,nama_hotel,kelurahan,kecamatan,bintang,jumlah_kamar,jumlah_tempat_tidur,jan_wisman,jan_wisnus,feb_wisman,feb_wisnus,mar_wisman,mar_wisnus,apr_wisman,apr_wisnus,mei_wisman,mei_wisnus,jun_wisman,jun_wisnus,jul_wisman,jul_wisnus,ags_wisman,ags_wisnus,sep_wisman,sep_wisnus,okt_wisman,okt_wisnus,nov_wisman,nov_wisnus,des_wisman,des_wisnus,total_wisman,total_wisnus,total_wisatawan,jan_kmr,jan_pax,feb_kmr,feb_pax,mar_kmr,mar_pax,apr_kmr,apr_pax,mei_kmr,mei_pax,jun_kmr,jun_pax,jul_kmr,jul_pax,ags_kmr,ags_pax,sep_kmr,sep_pax,okt_kmr,okt_pax,nov_kmr,nov_pax,des_kmr,des_pax,kamar_terjual,total_malam_tamu,jan_rm_ava,jan_occ,feb_rm_ava,feb_occ,mar_rm_ava,mar_occ,apr_rm_ava,apr_occ,mei_rm_ava,mei_occ,jun_rm_ava,jun_occ,jul_rm_ava,jul_occ,ags_rm_ava,ags_occ,sep_rm_ava,sep_occ,okt_rm_ava,okt_occ,nov_rm_ava,nov_occ,des_rm_ava,des_occ,rata_rata_occ,tahun
1,GRAND SENYIUR HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 5,181,221,51,1.809,52,1.217,152,3.482,95,1.814,70,1.606,69,1.964,119,2.047,110,1.532,602,3.248,105,4.096,77,2.879,72,3.597,1.574,29.291,30.865,  1.046 ,1.860,  1.652 ,1.269,  1.357 ,3.634,1258,1.909,1099,1.676,2106,2.033,2452,2.166,2155,1.642,2612,3.850,2474,4.201,2795,2.956,2180,3.669,23.186,30.865,5.611,"18,64",5.068,"32,60",5.611,"24,18",5.430,"23,17",5.611,"19,59",5.430,"38,78",5.611,"43,70",5.611,"38,41",5.430,"48,10",5.611,"44,09",5.430,"51,47",5.611,"38,85","35,13",2019
2,NOVOTEL HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 5,198,267,385,4.314,347,4.452,368,4.742,371,4.588,517,4.160,577,5.144,635,5.069,637,4.668,630,5.007,532,5.519,506,5.820,337,4.489,5.842,57.972,63.814,  4.368 ,4.699,  4.489 ,4.799,  4.800 ,5.110,4256,4.959,4157,4.677,4347,5.721,5021,5.704,4659,5.305,4485,5.637,4852,6.051,4937,6.326,4489,4.826,54.860,63.814,6.138,"71,16",5.544,"80,97",6.138,"78,20",5.940,"71,65",6.138,"67,73",5.940,"73,18",6.138,"81,80",6.138,"75,90",5.940,"75,51",6.138,"79,05",5.940,"83,11",6.138,"73,13","75,95",2019
3,GRAND JATRA HOTEL,Damai Bahagia,Balikpapan Selatan,Bintang 5,215,296,385,4.314,347,4.452,368,4.742,371,4.588,517,4.160,577,5.144,635,5.069,637,4.668,630,5.007,532,5.519,506,5.820,337,4.489,5.842,57.972,63.814,  4.773 ,4.699,  5.159 ,4.799,  5.861 ,5.110,4951,4.959,4392,4.677,4647,5.721,5397,5.704,5449,5.305,4934,5.637,5283,6.051,5810,6.326,5367,4.826,62.023,63.814,6.665,"71,61",6.020,"85,70",6.665,"87,94",6.450,"76,76",6.665,"65,90",6.450,"72,05",6.665,"80,98",6.665,"81,76",6.450,"76,50",6.665,"79,26",6.450,"90,08",6.665,"80,53","79,09",2019
4,FOUR POINS,Sepinggan Raya,Balikpapan Selatan,Bintang 4,138,168,0,0,0,0,0,0,0,0,0,0,0,0,34,2.235,23,2.141,44,3.561,54,4.037,40,3.834,47,4.778,242,20.586,20.828,0,0,0,0,0,0,0,0,0,0,0,0,1191,2.269,1169,2.164,1888,3.605,2171,4.091,2164,3.874,3054,4.825,11.637,20.828,4.278,"0,00",3.864,"0,00",4.278,"0,00",4.140,"0,00",4.278,"0,00",4.140,"0,00",4.278,"27,84",4.278,"27,33",4.140,"45,60",4.278,"50,75",4.140,"52,27",4.278,"71,39","22,93",2019
5,PLATINUM HOTEL,Graha Indah,Balikpapan Utara,Bintang 4,200,312,201,3.397,190,3.087,304,5.850,234,4.008,206,3.378,222,3.950,267,4.434,324,4.756,353,2.974,453,6.290,546,5.912,581,4.925,3.881,52.961,56.842,2073,3.598,740,3.277,3307,6.154,2147,4.242,1717,3.584,2262,4.172,2525,4.701,2699,5.080,2715,3.327,2537,6.743,3634,6.458,30027,5.506,56.383,56.842,6.200,"33,44",5.600,"13,21",6.200,"53,34",6.000,"35,78",6.200,"27,69",6.000,"37,70",6.200,"40,73",6.200,"43,53",6.000,"45,25",6.200,"40,92",6.000,"60,57",6.200,"484,31","76,37",2019
6,BLUE SKY,Marga Sari,Balikpapan Barat,Bintang 4,122,140,26,1.448,19,1.724,31,1.760,37,1.838,11,1.233,28,2.109,26,2.097,30,2.024,31,1.904,48,3.711,3.775,2.018,24,2.426,4.086,24.292,28.378,  1.839 ,1.474,  2.370 ,1.743,  2.211 ,1.791,2462,1.875,1566,1.244,1833,2.137,2631,2.123,2618,2.054,2395,1.935,2603,3.759,2949,5.793,2751,2.450,28.228,28.378,3.782,"48,63",3.416,"69,38",3.782,"58,46",3.660,"67,27",3.782,"41,41",3.660,"50,08",3.782,"69,57",3.782,"69,22",3.660,"65,44",3.782,"68,83",3.660,"80,57",3.782,"72,74","63,47",2019
7,PENTACITY HOTEL,Damai Bahagia,Balikpapan Selatan,Bintang 4,80,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.480,"0,00",2.240,"0,00",2.480,"0,00",2.400,"0,00",2.480,"0,00",2.400,"0,00",2.480,"0,00",2.480,"0,00",2.400,"0,00",2.480,"0,00",2.400,"0,00",2.480,"0,00","0,00",2019
8,GRAND TJKORO,Sepinggan Raya,Balikpapan Selatan,Bintang 4,148,224,98,2.525,85,2.688,133,3.192,183,4.589,122,3.441,108,4.050,95,5.353,109,5.129,94,5.673,146,6.181,122,6.264,0,0,1.295,49.085,50.380,  2.874 ,2.623,  3.021 ,2.773,  3.821 ,3.325,3579,4.772,2801,3.563,3013,4.158,3709,5.448,3614,5.238,3755,5.767,3822,6.327,3836,6.386,0,0,37.845,50.380,4.588,"62,64",4.144,"72,90",4.588,"83,28",4.440,"80,61",4.588,"61,05",4.440,"67,86",4.588,"80,84",4.588,"78,77",4.440,"84,57",4.588,"83,30",4.440,"86,40",4.588,"0,00","70,19",2019
9,HORISON ULTIMA,Sepinggan,Balikpapan Selatan,Bintang 4,130,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.030,"0,00",3.640,"0,00",4.030,"0,00",3.900,"0,00",4.030,"0,00",3.900,"0,00",4.030,"0,00",4.030,"0,00",3.900,"0,00",4.030,"0,00",3.900,"0,00",4.030,"0,00","0,00",2019
10,GOLDEN TULIP HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 4,150,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.650,"0,00",4.200,"0,00",4.650,"0,00",4.500,"0,00",4.650,"0,00",4.500,"0,00",4.650,"0,00",4.650,"0,00",4.500,"0,00",4.650,"0,00",4.500,"0,00",4.650,"0,00","0,00",2019
11,SWISS BELL HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 4,230,350,116,6.560,61,7.483,104,7.991,240,3.514,334,3.747,230,4.141,13,3.636,209,4.527,328,5.029,291,5.196,224,5.076,285,5.616,2.435,62.516,64.951,3577,6.676,4035,7.544,4381,8.095,3849,3.754,2896,4.081,3851,4.371,3449,3.649,5090,4.736,4964,5.357,5524,5.487,5632,5.300,5324,5.901,52.572,64.951,7.130,"50,17",6.440,"62,66",7.130,"61,44",6.900,"55,78",7.130,"40,62",6.900,"55,81",7.130,"48,37",7.130,"71,39",6.900,"71,94",7.130,"77,48",6.900,"81,62",7.130,"74,67","62,66",2019
12,GRAND TIGA MUSTIKA HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 4,116,196,5,845,1,1.096,3,1.030,2,1.448,5,589,0,1.283,12,1.044,9,1.203,7,1.496,2,1.944,4,1.644,6,1.489,56,15.111,15.167,  351 ,850,  526 ,1.097,  848 ,1.033,699,1.450,312,594,682,1.283,545,1.056,564,1.212,771,1.503,936,1.946,776,1.648,707,1.495,7.717,15.167,3.596,"9,76",3.248,"16,19",3.596,"23,58",3.480,"20,09",3.596,"8,68",3.480,"19,60",3.596,"15,16",3.596,"15,68",3.480,"22,16",3.596,"26,03",3.480,"22,30",3.596,"19,66","18,24",2019
13,ASTARA HOTEL,Damai Bahagia,Balikpapan Selatan,Bintang 4,663,673,65,3.931,23,5.316,23,6.003,26,5.991,38,4.045,27,6.771,26,6.054,32,7.062,34,7.114,36,8.353,34,9.077,390,79.058,754,148.775,149.529,  2.810 ,3.996,  3.233 ,5.339,  3.967 ,6.026,3769,6.017,2543,4.083,3894,6.798,3881,6.080,4418,7.094,4583,7.148,5340,8.389,5376,9.111,5528,79.448,49.342,149.529,20.553,"13,67",18.564,"17,42",20.553,"19,30",19.890,"18,95",20.553,"12,37",19.890,"19,58",20.553,"18,88",20.553,"21,50",19.890,"23,04",20.553,"25,98",19.890,"27,03",20.553,"26,90","20,38",2019
14,MENARA BAHTERA,Klandasan Ilir,Balikpapan Kota,Bintang 4,182,252,30,1.941,39,1.966,48,2.297,45,1.437,38,1.499,83,2.362,57,2.183,47,2.392,41,2.426,18,2.935,62,2.872,0,0,508,24.310,24.818,  1.302 ,1.971,  1.273 ,2.005,  1.313 ,2.345,1079,1.482,2801,1.537,1949,2.445,1440,2.240,1576,2.439,1598,2.467,1829,2.953,1832,2.934,0,0,17.992,24.818,5.642,"23,08",5.096,"24,98",5.642,"23,27",5.460,"19,76",5.642,"49,65",5.460,"35,70",5.642,"25,52",5.642,"27,93",5.460,"29,27",5.642,"32,42",5.460,"33,55",5.642,"0,00","27,09",2019
15,THE NEW BENAKUTAI,Klandasan Ilir,Balikpapan Kota,Bintang 4,91,136,0,493,0,532,0,799,0,695,1,450,0,1.716,0,1.452,0,1.460,0,1.526,0,1.682,0,2.440,0,3.250,1,16.495,16.496,493,493,532,532,799,799,695,695,451,451,858,1.716,726,1.452,730,1.460,763,1.526,841,1.682,1220,2.440,9733,3.250,17.841,16.496,2.821,"17,48",2.548,"20,88",2.821,"28,32",2.730,"25,46",2.821,"15,99",2.730,"31,43",2.821,"25,74",2.821,"25,88",2.730,"27,95",2.821,"29,81",2.730,"44,69",2.821,"345,02","53,22",2019
16,ANDHIKA BAHTERA HOTEL,Marga Sari,Balikpapan Barat,Bintang 4,155,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.805,"0,00",4.340,"0,00",4.805,"0,00",4.650,"0,00",4.805,"0,00",4.650,"0,00",4.805,"0,00",4.805,"0,00",4.650,"0,00",4.805,"0,00",4.650,"0,00",4.805,"0,00","0,00",2019
17,GRAND TAN HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 4,150,255,340,3.904,597,6.640,537,7.934,639,7.614,273,6.324,182,7.528,300,7.676,455,6.938,309,7.783,604,6.963,315,7.889,0,0,4.551,77.193,81.744,0,4.244,0,7.237,0,8.471,0,8.253,0,6.597,0,7.710,0,7.976,0,7.393,0,8.092,0,7.567,0,8.204,0,0,0,81.744,4.650,"0,00",4.200,"0,00",4.650,"0,00",4.500,"0,00",4.650,"0,00",4.500,"0,00",4.650,"0,00",4.650,"0,00",4.500,"0,00",4.650,"0,00",4.500,"0,00",4.650,"0,00","0,00",2019
18,LE GRANDEUR HOTEL,DAMAI,Balikpapan Selatan,Bintang 4,185,200,76,1.918,38,3.123,29,3.050,53,3.400,70,1.530,99,3.155,190,3.250,96,2.396,123,2.194,92,3.225,59,2.685,99,3.707,1.024,33.633,34.657,0,1.994,0,3.161,0,3.079,0,3.453,0,1.600,0,3.254,0,3.440,0,2.492,0,2.317,0,3.317,0,2.744,0,3.806,0,34.657,5.735,"0,00",5.180,"0,00",5.735,"0,00",5.550,"0,00",5.735,"0,00",5.550,"0,00",5.735,"0,00",5.735,"0,00",5.550,"0,00",5.735,"0,00",5.550,"0,00",5.735,"0,00","0,00",2019
19,HER HOTEL,Sepinggan,Balikpapan Selatan,Bintang 3,154,200,0,2.200,0,2.229,0,2.894,0,9.439,0,2.072,0,3.148,0,1.401,0,1.889,0,1.880,0,2.238,0,1.844,0,0,0,31.234,31.234,  1.660 ,2.200,  1.684 ,2.229,  2.220 ,2.894,  7.372 ,9.439,1469,2.072,1921,3.148,747,1.401,1087,1.889,1440,1.880,1648,2.238,1415,1.844,0,0,22.663,31.234,4.774,"34,77",4.312,"39,05",4.774,"46,50",4.620,"159,57",4.774,"30,77",4.620,"41,58",4.774,"15,65",4.774,"22,77",4.620,"31,17",4.774,"34,52",4.620,"30,63",4.774,"0,00","40,58",2019
20,QUEST HOTEL,Damai Bahagia,Balikpapan Selatan,Bintang 3,99,143,168,3.735,129,3.479,115,4.072,144,3.573,248,3.358,334,3.429,192,4.098,73,4.018,115,3.757,178,3.913,178,3.913,251,3.855,2.125,45.200,47.325,  2.110 ,3.903,  1.923 ,3.608,  2.218 ,4.187,1977,3.717,1883,3.606,1971,3.763,2172,4.290,2088,4.091,1972,3.872,2144,4.091,2144,4.091,2118,4.106,24.720,47.325,3.069,"68,75",2.772,"69,37",3.069,"72,27",2.970,"66,57",3.069,"61,36",2.970,"66,36",3.069,"70,77",3.069,"68,04",2.970,"66,40",3.069,"69,86",2.970,"72,19",3.069,"69,01","68,41",2019
21,NEO+ HOTEL,Gn. Sari Ulu,Balikpapan Tengah,Bintang 3,109,159,32,3.767,242,1.753,71,4.537,82,2.647,43,3.519,26,3.891,85,4.223,148,4.364,51,4.025,1.889,2.421,148,4.302,32,3.767,2.849,43.216,46.065,  2.181 ,3.799,  2.343 ,1.995,  2.646 ,4.608,2178,2.729,2010,3.562,2081,3.917,2364,4.308,2432,4.512,2254,4.076,2560,4.310,2721,4.450,2181,3.799,27.951,46.065,3.379,"64,55",3.052,"76,77",3.379,"78,31",3.270,"66,61",3.379,"59,49",3.270,"63,64",3.379,"69,96",3.379,"71,97",3.270,"68,93",3.379,"75,76",3.270,"83,21",3.379,"64,55","70,31",2019
22,D'PRIMA HOTEL,Damai,Balikpapan Selatan,Bintang 3,73,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.263,"0,00",2.044,"0,00",2.263,"0,00",2.190,"0,00",2.263,"0,00",2.190,"0,00",2.263,"0,00",2.263,"0,00",2.190,"0,00",2.263,"0,00",2.190,"0,00",2.263,"0,00","0,00",2019
23,PACIFIC HOTEL,Gn. sari Ilir,Balikpapan Tengah,Bintang 3,101,159,56,1.300,56,1.320,2,1.509,0,1.601,1,1.267,2,1.486,0,1.645,3,1.737,0,1.488,5,1.570,5,1.701,4,1.668,134,18.292,18.426,  1.099 ,1.356,  1.085 ,1.376,  1.257 ,1.511,1276,1.601,889,1.268,1105,1.488,1136,1.645,1248,1.740,1183,1.488,1226,1.575,1200,1.706,1222,1.672,13.926,18.426,3.131,"35,10",2.828,"38,37",3.131,"40,15",3.030,"42,11",3.131,"28,39",3.030,"36,47",3.131,"36,28",3.131,"39,86",3.030,"39,04",3.131,"39,16",3.030,"39,60",3.131,"39,03","37,80",2019
24,WHIZ PRIME HOTEL,Damai,Balikpapan Kota,Bintang 3,27,37,0,3.189,0,3.806,0,4.504,0,4.286,0,3.337,6,2.848,12,2.106,6,2.896,0,5.510,0,6.689,7,6.925,0,0,31,46.096,46.127,  2.332 ,3.189,  2.332 ,3.806,  2.888 ,4.504,2620,4.286,2133,3.337,2854,2.854,3118,2.118,2777,2.902,2737,5.510,3362,6.689,3501,6.932,3743,0,34.397,46.127,837,"278,61",756,"308,47",837,"345,04",810,"323,46",837,"254,84",810,"352,35",837,"372,52",837,"331,78",810,"337,90",837,"401,67",810,"432,22",837,"447,19","348,84",2019
25,BDI TOWN HOUSE,Gn. Bahagia,Balikpapan Selatan,Bintang 3,85,170,103,263,114,124,109,263,70,240,90,226,99,253,69,253,43,835,47,465,40,701,40,683,0,0,824,4.306,5.130,  183 ,366,  119 ,238,  186 ,372,154,310,155,316,176,352,161,322,439,878,256,512,361,741,361,723,0,0,2.551,5.130,2.635,"6,94",2.380,"5,00",2.635,"7,06",2.550,"6,04",2.635,"5,88",2.550,"6,90",2.635,"6,11",2.635,"16,66",2.550,"10,04",2.635,"13,70",2.550,"14,16",2.635,"0,00","8,21",2019
26,IBIS HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 3,155,237,23,6.337,8,5.816,22,6.280,41,5.960,39,5.395,31,6.553,47,6.627,67,6.317,14,6.359,6,7.040,33,6.655,36,6.730,367,76.069,76.436,  3.689 ,6.360,  3.640 ,5.824,  3.939 ,6.302,3726,6.001,3396,5.434,4115,6.584,4171,6.674,1087,6.384,3983,6.373,4404,7.046,4180,6.688,4228,6.766,44.558,76.436,4.805,"76,77",4.340,"83,87",4.805,"81,98",4.650,"80,13",4.805,"70,68",4.650,"88,49",4.805,"86,81",4.805,"22,62",4.650,"85,66",4.805,"91,65",4.650,"89,89",4.805,"87,99","78,88",2019
27,SWISS BELL INN,Damai,Balikpapan Kota,Bintang 3,98,98,2,2.782,2,2.683,4,3.210,4,2.961,5,2.597,1,2.995,13,3.636,19,3.510,18,3.793,14,3.778,15,3.214,59,3.597,156,38.756,38.912,  2.784 ,2.784,  2.655 ,2.685,  3.214 ,3.214,2965,2.965,2602,2.602,2996,2.996,3449,3.649,3350,3.529,3413,3.811,3722,3.792,3620,3.229,3625,3.656,38.395,38.912,3.038,"91,64",2.744,"96,76",3.038,"105,79",2.940,"100,85",3.038,"85,65",2.940,"101,90",3.038,"113,53",3.038,"110,27",2.940,"116,09",3.038,"122,51",2.940,"123,13",3.038,"119,32","107,29",2019
28,ZURICH HOTEL,Damai,Balikpapan Kota,Bintang 3,166,166,41,3.869,67,3.825,34,2.919,78,4.274,50,2.804,0,3.639,34,2.994,73,4.360,34,2.994,34,2.994,1,3.639,0,3.737,446,42.048,42.494,  2.140 ,3.910,  2.274 ,3.892,  1.815 ,2.953,2494,4.352,1439,2.854,2098,3.639,1862,3.028,2530,4.433,1862,3.028,1862,3.028,2098,3.640,2344,3.737,24.818,42.494,5.146,"41,59",4.648,"48,92",5.146,"35,27",4.980,"50,08",5.146,"27,96",4.980,"42,13",5.146,"36,18",5.146,"49,16",4.980,"37,39",5.146,"36,18",4.980,"42,13",5.146,"45,55","41,05",2019
29,MAX ONE,Damai,Balikpapan Selatan,Bintang 3,30,43,6,5.114,34,5.338,37,6.207,59,5.869,43,5.148,36,5.798,35,5.613,33,5.882,18,5.714,18,6.480,52,6.344,7,3.763,378,67.270,67.648,  2.773 ,5.120,  2.780 ,5.372,  3.190 ,6.244,3055,5.928,2844,5.191,3212,5.834,3099,5.648,3247,5.915,3209,5.732,3418,6.498,3288,6.396,3399,3.770,37.514,67.648,930,"298,17",840,"330,95",930,"343,01",900,"339,44",930,"305,81",900,"356,89",930,"333,23",930,"349,14",900,"356,56",930,"367,53",900,"365,33",930,"365,48","342,63",2019
30,HORISON SAGITA,Klandasan Ilir,Balikpapan Kota,Bintang 3,79,79,35,2.468,44,1.900,0,3.019,4,2.573,4,1.839,1,2.805,1,2.904,18,2.676,12,2.342,7,2.437,25,2.630,6,2.894,157,30.487,30.644,  1.799 ,2.503,  1.895 ,1.944,  2.307 ,3.019,2131,2.577,1576,1.843,2214,2.806,2239,2.905,2174,2.694,1979,2.354,2140,2.444,2236,2.655,2407,2.900,25.097,30.644,2.449,"73,46",2.212,"85,67",2.449,"94,20",2.370,"89,92",2.449,"64,35",2.370,"93,42",2.449,"91,43",2.449,"88,77",2.370,"83,50",2.449,"87,38",2.370,"94,35",2.449,"98,29","87,06",2019
31,MEGA LESTARI HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 3,107,171,0,1.309,6,1.036,12,1.400,27,1.189,8,773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,5.707,5.760,  653 ,1.309,  553 ,1.042,  771 ,1.412,652,1.216,434,781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.063,5.760,3.317,"19,69",2.996,"18,46",3.317,"23,24",3.210,"20,31",3.317,"13,08",3.210,"0,00",3.317,"0,00",3.317,"0,00",3.210,"0,00",3.317,"0,00",3.210,"0,00",3.317,"0,00","7,90",2019
32,BEST INN,Gn. Bahagia,Balikpapan Selatan,Bintang 3,53,72,0,1.666,0,1.842,0,2.120,0,1.648,0,1.138,0,1.684,0,1.650,0,1.698,0,1.776,0,1.790,0,1.880,0,0,0,18.892,18.892,  833 ,1.666,  921 ,1.842,  1.060 ,2.120,824,1.648,569,1.138,842,1.684,825,1.650,849,1.698,888,1.776,895,1.790,940,1.880,0,0,9.446,18.892,1.643,"50,70",1.484,"62,06",1.643,"64,52",1.590,"51,82",1.643,"34,63",1.590,"52,96",1.643,"50,21",1.643,"51,67",1.590,"55,85",1.643,"54,47",1.590,"59,12",1.643,"0,00","49,00",2019
